04:24:46:813 AWT-EventQueue-0: Build 898.3, Sep 23, 2009 5:03:56 PM
04:25:25:879 AWT-EventQueue-0: Market rule file /Users/david/lab616/third_party/java/ib-tws-898/IBJts/dbuhtmvwt/Fri.rul does not exist or is removed
Jolt logger configuration is done.
10:31:03:561 JTS-CCPPing-12: Warning: not received heartbeat at 21933000 elapsed:11000
10:33:43:686 JTS-CCPPing-12: Warning: not received heartbeat at 22093000 elapsed:11000
10:39:13:960 JTS-CCPPing-12: Warning: not received heartbeat at 22423000 elapsed:11000
10:39:14:960 JTS-CCPPing-12: Warning: not received heartbeat at 22424000 elapsed:12000
10:39:15:960 JTS-CCPPing-12: Warning: not received heartbeat at 22425000 elapsed:13000
11:27:06:652 JTS-CCPPing-12: Warning: not received heartbeat at 25293000 elapsed:11000
11:28:26:725 JTS-CCPPing-12: Warning: not received heartbeat at 25373000 elapsed:11000
11:45:23:704 JTS-CCPPing-12: Warning: not received heartbeat at 26386000 elapsed:11000
11:48:43:791 JTS-CCPPing-12: Warning: not received heartbeat at 26586000 elapsed:11000
11:59:53:674 JTS-CCPPing-12: Warning: not received heartbeat at 27255000 elapsed:11000
12:00:53:677 JTS-CCPPing-12: Warning: not received heartbeat at 27315000 elapsed:11000
12:06:59:151 JTS-CCPPing-12: Warning: not received heartbeat at 27680000 elapsed:11000
12:12:33:724 JTS-CCPPing-12: Warning: not received heartbeat at 28014000 elapsed:11000
12:12:53:725 JTS-CCPPing-12: Warning: not received heartbeat at 28034000 elapsed:11000
12:33:13:577 JTS-CCPPing-12: Warning: not received heartbeat at 29252000 elapsed:11000
12:35:03:708 JTS-CCPPing-12: Warning: not received heartbeat at 29362000 elapsed:11000
12:45:59:186 JTS-CCPPing-12: Warning: not received heartbeat at 30016000 elapsed:11000
12:50:03:671 JTS-CCPPing-12: Warning: not received heartbeat at 30260000 elapsed:11000
12:50:53:673 JTS-CCPPing-12: Warning: not received heartbeat at 30310000 elapsed:11000
12:51:13:674 JTS-CCPPing-12: Warning: not received heartbeat at 30330000 elapsed:11000
12:52:43:680 JTS-CCPPing-12: Warning: not received heartbeat at 30420000 elapsed:11000
12:56:09:030 JTS-CCPPing-12: Warning: not received heartbeat at 30625000 elapsed:11000
13:08:33:742 JTS-CCPPing-12: Warning: not received heartbeat at 31369000 elapsed:11000
13:09:13:744 JTS-CCPPing-12: Warning: not received heartbeat at 31409000 elapsed:11000
13:09:33:745 JTS-CCPPing-12: Warning: not received heartbeat at 31429000 elapsed:11000
13:11:03:937 JTS-CCPPing-12: Warning: not received heartbeat at 31519000 elapsed:11000
13:46:19:035 JTS-CCPPing-12: Warning: not received heartbeat at 33628000 elapsed:11000
13:51:53:827 JTS-CCPPing-12: Warning: not received heartbeat at 33962000 elapsed:11000
14:01:44:411 JTS-CCPPing-12: Warning: not received heartbeat at 34551000 elapsed:11000
14:07:43:716 JTS-CCPPing-12: Warning: not received heartbeat at 34907000 elapsed:11000
14:08:13:846 JTS-CCPPing-12: Warning: not received heartbeat at 34937000 elapsed:11000
14:08:33:847 JTS-CCPPing-12: Warning: not received heartbeat at 34957000 elapsed:11000
14:09:24:196 JTS-CCPPing-12: Warning: not received heartbeat at 35007000 elapsed:11000
14:17:17:171 JTS-CCPPing-12: Warning: not received heartbeat at 35479000 elapsed:11000
14:25:29:394 JTS-usfarmDispatcher-59: nosBits overflow detected. nosBits adjusted from 1800 to 67336 based on bodyLen = 8424
14:25:49:051 JTS-CCPPing-12: Warning: not received heartbeat at 35989000 elapsed:11000
14:26:09:052 JTS-CCPPing-12: Warning: not received heartbeat at 36009000 elapsed:11000
14:43:08:999 JTS-CCPPing-12: Warning: not received heartbeat at 37025000 elapsed:11000
14:43:29:017 JTS-CCPPing-12: Warning: not received heartbeat at 37045000 elapsed:11000
14:44:19:182 JTS-CCPPing-12: Warning: not received heartbeat at 37095000 elapsed:11000
14:58:17:169 JTS-CCPPing-12: Warning: not received heartbeat at 37928000 elapsed:11000
15:16:38:975 JTS-CCPPing-12: Warning: not received heartbeat at 39024000 elapsed:11000
15:18:48:873 JTS-CCPPing-12: Warning: not received heartbeat at 39153000 elapsed:11000
15:36:38:972 JTS-CCPPing-12: Warning: not received heartbeat at 40216000 elapsed:11000
15:38:38:991 JTS-CCPPing-12: Warning: not received heartbeat at 40335000 elapsed:11000
15:39:18:992 JTS-CCPPing-12: Warning: not received heartbeat at 40375000 elapsed:11000
15:42:37:917 JTS-CCPPing-12: Warning: not received heartbeat at 40573000 elapsed:11000
15:43:08:041 JTS-CCPPing-12: Warning: not received heartbeat at 40603000 elapsed:11000
15:49:37:953 JTS-CCPPing-12: Warning: not received heartbeat at 40989000 elapsed:11000
16:03:18:044 JTS-CCPPing-12: Warning: not received heartbeat at 41799000 elapsed:11000
16:06:18:270 JTS-CCPPing-12: Warning: not received heartbeat at 41979000 elapsed:11000
16:11:48:207 JTS-CCPPing-12: Warning: not received heartbeat at 42308000 elapsed:11000
16:12:38:210 JTS-CCPPing-12: Warning: not received heartbeat at 42358000 elapsed:11000
16:13:18:211 JTS-CCPPing-12: Warning: not received heartbeat at 42398000 elapsed:11000
16:13:48:213 JTS-CCPPing-12: Warning: not received heartbeat at 42428000 elapsed:11000
16:24:08:247 JTS-CCPPing-12: Warning: not received heartbeat at 43046000 elapsed:11000
16:24:28:248 JTS-CCPPing-12: Warning: not received heartbeat at 43066000 elapsed:11000
16:24:48:249 JTS-CCPPing-12: Warning: not received heartbeat at 43086000 elapsed:11000
16:25:18:250 JTS-CCPPing-12: Warning: not received heartbeat at 43116000 elapsed:11000
16:25:38:252 JTS-CCPPing-12: Warning: not received heartbeat at 43136000 elapsed:11000
16:26:29:317 JTS-CCPPing-12: Warning: not received heartbeat at 43187000 elapsed:11000
16:29:08:203 JTS-CCPPing-12: Warning: not received heartbeat at 43345000 elapsed:11000
